	n	sx	sy	sz
0.0507095771384144	-1.04911350583021E-9	0.13779130952235	0.0177671583366558	-0.0181498763498955
0.0700872147883616	-6.15063249168029E-10	0.064219201148092	0.0166220237751553	-0.0169008587084801
0.0938375279085756	-1.32280420705192E-10	0.0249884874176491	0.0101234679087779	-0.0102749265313795
0.151155928261552	-1.73206178271936E-10	0.0022783970582982	0.00268919633434624	-0.00269318564798908
0.121307629004282	4.64867233095035E-11	0.00827209440977102	0.00488946438500656	-0.0049557839870692
0.120662108424099	-3.97579174933241E-10	0.00812421978189129	0.00707585357265877	-0.00708060594454646
0.151855841443237	5.25423563247522E-11	0.00237759542784038	0.00201985917422267	-0.00204461735088145
0.0932615992117362	-7.58408890168678E-10	0.0248564644408764	0.0162034663895138	-0.0161959967613538
0.0695975376362834	-1.21492581041375E-9	0.064296076871789	0.0311968407799704	-0.0311356750118818
0.0503230856840207	-1.43267785203493E-9	0.138460946127548	0.0469418027401419	-0.0467518649918475
0.0360508972590326	-5.21394002252375E-10	0.24401833901528	0.0414497284896345	-0.0410721514008337
0.0473922175584007	9.25374615947321E-10	0.157223680311701	7.73343638511466E-4	-5.54860686049546E-4
0.165726611323163	9.49445450954376E-11	0.00147581186619649	5.02380385699101E-5	-5.10269593530039E-5
0.0427468872657726	2.12576241508878E-9	0.188007591369393	-0.0274513361605866	0.0276108259649711
0.179555986762711	5.22049840818972E-12	8.24930736308318E-4	-4.27468637965963E-4	4.27640148458225E-4
0.043867402708892	1.90479344195854E-9	0.179614638075803	-0.0346706715836964	0.0346528358278754
0.050709592195473	6.74451601716064E-10	0.137789228998707	-0.0180952451520217	0.0179034598346957
0.0630172398849184	-2.70358558725024E-10	0.0853247330281808	-1.35064507028456E-4	-1.13565899588139E-4
0.0803595192186488	-4.04320814847579E-10	0.0431118802114296	0.00684596400277868	-0.00704395168265475
0.10218698128532	-1.96948121557587E-10	0.0180526889995268	0.00631541230034202	-0.00643167679618013
0.176034773645038	-1.80072289971305E-10	7.06291963718467E-4	0.00134751376877294	-0.00134895474162732
0.180615231262821	1.88149603190349E-9	1.2622820263556E-11	-1.57496114124701E-6	-1.57391507126268E-6
0.127890873649213	-4.37305214291812E-11	0.00637239514520331	0.00375507669343947	-0.00380963147046273
0.145347666426881	-3.96261051243974E-10	0.00278097277271778	0.00369327281138373	-0.00369463005486062
0.166530413864831	3.92684337847864E-10	0.00131186835543776	0.00122257488981602	-0.00123135253294849
0.156853863231331	9.22428452707112E-12	0.0019262570538564	0.0017717023741855	-0.001793386828035
0.117554799064235	-7.89232349672496E-10	0.00908492846553966	0.00856707152309515	-0.00856289938262694
0.156854098141747	5.68764651658506E-10	0.00191365172964568	0.00188329557651534	-0.00189356129580346
0.0932615728396892	-1.20439731511946E-9	0.0248574730484288	0.0163456302756028	-0.0163184624774512
0.151856014291839	6.11334072530609E-10	0.00236055049038035	0.00216837716101438	-0.00217774598094821
0.0730885026990636	-1.30194086487412E-9	0.0564378318413644	0.0238895645936802	-0.0238072115312726
0.151684759300697	4.91296247879315E-10	0.00244468947796763	0.00180470843152561	-0.00181114555738794
0.0576286391069163	-6.0462588147117E-10	0.104909624236814	0.021940139512794	-0.0217757463503142
0.156351204881765	2.80686014998272E-10	0.00210194204386379	9.34308530104897E-4	-9.3740088418291E-4
0.0719795438553156	4.79883170937404E-10	0.0601076735784085	4.53208606809093E-4	-3.70946260106652E-4
0.131803631770287	1.65894224941208E-10	0.00565772351234478	1.30104602103833E-4	-1.31282010149055E-4
0.0658194889248217	1.34216732917872E-9	0.0762251473580305	-0.0136910446952063	0.013751871031408
0.145044259046941	-2.14421122778691E-11	0.00329136108892201	-0.00125649585501044	0.00125785569216977
0.0651817816769599	1.42740727114E-9	0.0777703523303267	-0.0213477338720307	0.0213356414644399
0.16264149760892	-4.32562195315759E-11	0.00152355497518043	-0.0013905497752585	0.00139182963881829
0.0700872606225377	8.11722760531109E-10	0.0642158146898143	-0.0168510242686027	0.0167574068644038
0.0803595581014744	1.45022804893554E-10	0.0431106889773208	-0.00702906405577394	0.00689929346884752
0.0956498276038573	-1.55416761917641E-10	0.0236808943046172	-6.11103861940835E-5	-5.10584986748403E-5
0.175180860193552	2.81555470677682E-11	0.0010044820600436	-3.07296472675771E-6	-4.84506518218659E-6
0.115481274661522	-1.63396296403073E-10	0.0107565653031308	0.00226630500367251	-0.00233775489871285
0.155206511999223	2.36141608391973E-10	0.00221035504422258	6.88325757680409E-4	-7.03397136658608E-4
0.139301324620791	-9.04592938826605E-11	0.0040953142831088	0.00200095637260301	-0.00203721312330606
0.173314171880986	-2.77637775826667E-10	7.71308238855512E-4	0.0015464726426757	-0.00154688490697655
0.139301481267446	5.98944824976082E-10	0.00408827266704095	0.00211876954036756	-0.00214212015951316
0.166530159949843	-2.22785757560356E-11	0.00131875711462204	0.00115457881522329	-0.00117011646515872
0.145347638830225	-5.48000264187346E-10	0.0027790798061147	0.003725047962979	-0.00372340767833996
0.127891037759413	9.80645069768549E-10	0.00635529631251563	0.00398063680481339	-0.00400933957570935
0.120662054310927	-8.76470599736176E-10	0.00812149777201087	0.00721237721249545	-0.00720247748485713
0.121307757700033	1.13849302432423E-9	0.00824453323317246	0.00521632677957742	-0.00524337476698409
0.0998403104209721	-9.63049104680709E-10	0.019465621522573	0.0105593739978375	-0.0105293060171796
0.119756493936996	9.48265878354363E-10	0.00886898574347181	0.00472714248830882	-0.00474568085759671
0.0834466330740646	-4.95237610564903E-10	0.0380581288542794	0.00963477077146749	-0.00957385071151593
0.123290323517701	5.39628524733898E-10	0.00784796979424378	0.00257165872546497	-0.00257985908404254
0.100344899475093	1.79582037740676E-10	0.0196920540614823	2.53042531004235E-4	-2.25508855323401E-4
0.100344887684806	1.64652636241714E-10	0.0196627892068275	2.62262710624032E-4	-2.60501306416281E-4
0.0928976932386591	7.00302644741352E-10	0.0262675383184877	-0.00586222413087908	0.00588319051378756
0.11280666914878	-1.62571050277986E-10	0.0118858096899717	-0.00352366303265326	0.00353094938439594
0.0907051242071486	8.39787799717344E-10	0.0283694208590978	-0.0104339711267858	0.0104290615902177
0.129902942957295	-1.73754599039095E-10	0.00579637409258139	-0.00395446182301406	0.00395966722271313
0.0938376169960512	5.88995083870974E-10	0.0249851018715437	-0.0102495213040662	0.0102123076645305
0.151155851131032	-7.16670914056141E-11	0.00227643664079987	-0.00269953367625662	0.00270168110926186
0.102187079668849	2.30692698708298E-10	0.0180509443331635	-0.00641784164906296	0.00636253008862134
0.17603473141987	1.91905388814194E-11	7.05265689794159E-4	-0.00135113750681477	0.00135167805900522
0.180615011871051	-2.19908943050599E-9	1.09421534579362E-11	-1.84104870186443E-6	-1.8393523899196E-6
